Size of Array,Type of Array,Sorting Algorithm,Number of Comparisons,Execution Time
1,Random,Heap,0,2.51e-07
1,Random,Bubble,0,1.15e-07
1,Random,Selection,0,1.12e-07
1,Random,Insertion,0,1.11e-07
1,Sorted,Heap,0,1.03e-07
1,Sorted,Bubble,0,7.1e-08
1,Sorted,Selection,0,1.14e-07
1,Sorted,Insertion,0,9e-08
1,Inversely-sorted,Heap,0,9.2e-08
1,Inversely-sorted,Bubble,0,8.7e-08
1,Inversely-sorted,Selection,0,9.5e-08
1,Inversely-sorted,Insertion,0,1.2e-07
1,Random,Heap,0,1.37e-07
1,Random,Bubble,0,8.9e-08
1,Random,Selection,0,9.1e-08
1,Random,Insertion,0,7.5e-08
1,Sorted,Heap,0,8.5e-08
1,Sorted,Bubble,0,7.9e-08
1,Sorted,Selection,0,8.4e-08
1,Sorted,Insertion,0,9.6e-08
1,Inversely-sorted,Heap,0,8e-08
1,Inversely-sorted,Bubble,0,8.3e-08
1,Inversely-sorted,Selection,0,1.07e-07
1,Inversely-sorted,Insertion,0,7.7e-08
1,Random,Heap,0,8.3e-08
1,Random,Bubble,0,8.3e-08
1,Random,Selection,0,8.4e-08
1,Random,Insertion,0,8e-08
1,Sorted,Heap,0,7.7e-08
1,Sorted,Bubble,0,7.8e-08
1,Sorted,Selection,0,7.7e-08
1,Sorted,Insertion,0,6.7e-08
1,Inversely-sorted,Heap,0,7.8e-08
1,Inversely-sorted,Bubble,0,7.7e-08
1,Inversely-sorted,Selection,0,7.7e-08
1,Inversely-sorted,Insertion,0,8.2e-08
1,Random,Heap,0,7.1e-08
1,Random,Bubble,0,5.7e-08
1,Random,Selection,0,6.8e-08
1,Random,Insertion,0,8.4e-08
1,Sorted,Heap,0,7.9e-08
1,Sorted,Bubble,0,8.4e-08
1,Sorted,Selection,0,1.1e-07
1,Sorted,Insertion,0,7.5e-08
1,Inversely-sorted,Heap,0,8.1e-08
1,Inversely-sorted,Bubble,0,7.9e-08
1,Inversely-sorted,Selection,0,6.8e-08
1,Inversely-sorted,Insertion,0,5.7e-08
1,Random,Heap,0,7.5e-08
1,Random,Bubble,0,5.8e-08
1,Random,Selection,0,6.8e-08
1,Random,Insertion,0,6.9e-08
1,Sorted,Heap,0,5.8e-08
1,Sorted,Bubble,0,7e-08
1,Sorted,Selection,0,6.9e-08
1,Sorted,Insertion,0,5.9e-08
1,Inversely-sorted,Heap,0,6.6e-08
1,Inversely-sorted,Bubble,0,6.7e-08
1,Inversely-sorted,Selection,0,5.8e-08
1,Inversely-sorted,Insertion,0,6.8e-08
1,Random,Heap,0,5.8e-08
1,Random,Bubble,0,7.4e-08
1,Random,Selection,0,6.6e-08
1,Random,Insertion,0,8.9e-08
1,Sorted,Heap,0,6.8e-08
1,Sorted,Bubble,0,6.9e-08
1,Sorted,Selection,0,5.7e-08
1,Sorted,Insertion,0,6.7e-08
1,Inversely-sorted,Heap,0,8.09e-07
1,Inversely-sorted,Bubble,0,6.8e-08
1,Inversely-sorted,Selection,0,5.8e-08
