Size of Array,Type of Array,Sorting Algorithm,Number of Comparisons,Execution Time
1,Random,Heap,0,8.84e-07
1,Random,Bubble,0,4.02e-07
1,Random,Selection,0,4.26e-07
1,Random,Insertion,0,3.47e-07
1,Sorted,Heap,0,3.01e-07
1,Sorted,Bubble,0,2.75e-07
1,Sorted,Selection,0,3.03e-07
1,Sorted,Insertion,0,2.56e-07
1,Inversely-sorted,Heap,0,2.36e-07
1,Inversely-sorted,Bubble,0,2.33e-07
1,Inversely-sorted,Selection,0,3.13e-07
1,Inversely-sorted,Insertion,0,2.6e-07
2,Random,Heap,1,3.34e-07
2,Random,Bubble,1,3.22e-07
2,Random,Selection,1,3.98e-07
2,Random,Insertion,1,3.15e-07
2,Sorted,Heap,1,2.73e-07
2,Sorted,Bubble,1,2.8e-07
2,Sorted,Selection,1,3.13e-07
2,Sorted,Insertion,1,2.68e-07
2,Inversely-sorted,Heap,1,3.15e-07
2,Inversely-sorted,Bubble,1,3.55e-07
2,Inversely-sorted,Selection,1,3.74e-07
2,Inversely-sorted,Insertion,1,3.6e-07
3,Random,Heap,3,3.62e-07
3,Random,Bubble,3,3.63e-07
3,Random,Selection,3,3.94e-07
3,Random,Insertion,3,4.33e-07
3,Sorted,Heap,3,3.55e-07
3,Sorted,Bubble,2,2.93e-07
3,Sorted,Selection,3,4.41e-07
3,Sorted,Insertion,2,3.34e-07
3,Inversely-sorted,Heap,3,4.25e-07
3,Inversely-sorted,Bubble,3,3.69e-07
3,Inversely-sorted,Selection,3,3.79e-07
3,Inversely-sorted,Insertion,3,3.79e-07
4,Random,Heap,6,5.72e-07
4,Random,Bubble,6,4.87e-07
4,Random,Selection,6,4.72e-07
4,Random,Insertion,6,4.58e-07
4,Sorted,Heap,6,4.28e-07
4,Sorted,Bubble,3,3.04e-07
4,Sorted,Selection,6,4.82e-07
4,Sorted,Insertion,3,3.36e-07
4,Inversely-sorted,Heap,7,5.89e-07
4,Inversely-sorted,Bubble,6,3.91e-07
4,Inversely-sorted,Selection,6,4.53e-07
4,Inversely-sorted,Insertion,6,4.5e-07
5,Random,Heap,12,1.0873e-05
5,Random,Bubble,10,3.74e-07
5,Random,Selection,10,3.66e-07
5,Random,Insertion,9,3.28e-07
5,Sorted,Heap,10,4.42e-07
5,Sorted,Bubble,4,2.03e-07
5,Sorted,Selection,10,3.69e-07
5,Sorted,Insertion,4,2.05e-07
5,Inversely-sorted,Heap,12,3.94e-07
5,Inversely-sorted,Bubble,10,3.51e-07
5,Inversely-sorted,Selection,10,3.63e-07
5,Inversely-sorted,Insertion,10,3.62e-07
6,Random,Heap,16,5.58e-07
6,Random,Bubble,15,4.4e-07
6,Random,Selection,15,4.24e-07
6,Random,Insertion,12,4.48e-07
6,Sorted,Heap,14,4.82e-07
6,Sorted,Bubble,5,2.13e-07
6,Sorted,Selection,15,3.67e-07
6,Sorted,Insertion,5,2.07e-07
6,Inversely-sorted,Heap,16,4.79e-07
6,Inversely-sorted,Bubble,15,4.49e-07
6,Inversely-sorted,Selection,15,4.14e-07
6,Inversely-sorted,Insertion,15,4.4e-07
7,Random,Heap,18,5.52e-07
7,Random,Bubble,20,4.52e-07
7,Random,Selection,21,4.38e-07
7,Random,Insertion,14,3.96e-07
7,Sorted,Heap,18,4.76e-07
7,Sorted,Bubble,6,2.31e-07
7,Sorted,Selection,21,4.22e-07
7,Sorted,Insertion,6,2.37e-07
7,Inversely-sorted,Heap,21,5.66e-07
7,Inversely-sorted,Bubble,21,4.9e-07
7,Inversely-sorted,Selection,21,4.73e-07
7,Inversely-sorted,Insertion,21,4.98e-07
